box_recovery_halflife,collateral_liquidation_factor,box_initial_balance,max_drop0,max_drop1.05,max_drop1.1,score0,score1.05,score1.1,max_drop_distnce_from_0,score_distnce_from_0
4,2,0.5,0.160465374,0.215473211,0.260465374,4760.37894,5565.498504,4704.299083,0.744711479,1.01192098
4,2,0.75,0.128652255,0.179969812,0.228652255,1058.14462,1536.087307,1019.13802,0.714854643,1.038274109
4,2,1,0.061895875,0.117959075,0.161895875,114.964359,236.2609392,112.355929,0.524723301,1.023215775
5,0.25,0.1,0.129969812,0.186641965,0.229969812,191.2156056,274.2248158,187.5703595,0.696358999,1.01943402
5,0.25,0.25,0,0.05,0.1,0.188885232,0.188885232,0.188885232,0,1
5,0.25,0.5,0,0.05,0.1,0.188885232,0.188885232,0.188885232,0,1
5,0.25,0.75,0,0.05,0.1,0.188885232,0.188885232,0.188885232,0,1
5,0.25,1,0,0.05,0.1,0.188885232,0.188885232,0.188885232,0,1
5,0.5,0.1,0.200594133,0.250594133,0.300594133,2319.536966,2551.883805,2319.448617,0.80047418,1.00003809
5,0.5,0.25,0.067084452,0.144762178,0.167084452,79.27935583,142.2298772,75.10036708,0.463411457,1.055645384
5,0.5,0.5,0,0.05,0.1,0.377770464,0.377770464,0.377770464,0,1
5,0.5,0.75,0,0.05,0.1,0.377770464,0.377770464,0.377770464,0,1
5,0.5,1,0,0.05,0.1,0.377770464,0.377770464,0.377770464,0,1
5,1,0.1,0.210465258,0.261483438,0.310465258,9217.425979,9637.535504,9217.405108,0.804889439,1.000002264
5,1,0.25,0.172942311,0.233147718,0.272942311,3312.226521,3733.500786,3310.277283,0.741771408,1.000588844
5,1,0.5,0.067084452,0.145331367,0.167084452,157.9338774,283.3405204,149.57551,0.461596511,1.055880588
5,1,0.75,0,0.05,0.1,0.755540929,0.755540929,0.755540929,0,1
5,1,1,0,0.05,0.1,0.755540929,0.755540929,0.755540929,0,1
5,2,0.1,0.218609144,0.270089215,0.318609144,24473.9245,24914.35974,24473.9241,0.80939605,1.000000016
5,2,0.25,0.209567062,0.259567062,0.309567062,15600.74061,16568.55981,15600.65808,0.807371553,1.000005291
5,2,0.5,0.172942311,0.233147718,0.270497923,6619.91637,7461.350446,6615.993117,0.741771408,1.000592995
5,2,0.75,0.136641965,0.191172737,0.236641965,2073.294991,2808.118356,2054.635723,0.714756544,1.009081545
5,2,1,0.067084452,0.145331367,0.167084452,315.2281107,565.6290451,298.5376843,0.461596511,1.055907268
