,timestamp_x,ask_price,bid_price,binance-futures_ETHUSDT_liquidation_long,binance-futures_ETHUSDT_liquidation_short,index
14935369,1654819223000000,1784.2585936619578,1784.2585936619578,0.0,0.0,2022-06-10 00:00:23
14935370,1654819241800000,1784.2585936619578,1784.2585936619578,0.0,0.0,2022-06-10 00:00:41
14935371,1654819263800000,1784.2585936619578,1784.2585936619578,0.0,0.0,2022-06-10 00:01:03
14935372,1654819267800000,1784.2585936619578,1784.2585936619578,0.0,0.0,2022-06-10 00:01:07
14935373,1654819275800000,1784.2585936619578,1784.2585936619578,0.0,0.0,2022-06-10 00:01:15
14935374,1654819291800000,1784.2585936619578,1784.2585936619578,0.0,0.0,2022-06-10 00:01:31
14935375,1654819294800000,1784.2585936619578,1784.2585936619578,0.0,0.0,2022-06-10 00:01:34
14935376,1654819305800000,1784.2585936619578,1784.2585936619578,0.0,0.0,2022-06-10 00:01:45
14935377,1654819307800000,1784.2585936619578,1784.2585936619578,0.0,0.0,2022-06-10 00:01:47
14935378,1654819311800000,1784.2585936619578,1784.2585936619578,0.0,0.0,2022-06-10 00:01:51
14935379,1654819319800000,1784.2585936619578,1784.2585936619578,0.0,0.0,2022-06-10 00:01:59
14935380,1654819345800000,1784.2585936619578,1784.2585936619578,0.0,0.0,2022-06-10 00:02:25
14935381,1654819365800000,1784.2585936619578,1784.2585936619578,0.0,0.0,2022-06-10 00:02:45
14935382,1654819369800000,1784.2585936619578,1784.2585936619578,0.0,0.0,2022-06-10 00:02:49
14935383,1654819380800000,1784.2585936619578,1784.2585936619578,0.0,0.0,2022-06-10 00:03:00
14935384,1654819388800000,1784.2585936619578,1784.2585936619578,0.0,0.0,2022-06-10 00:03:08
14935385,1654819401800000,1784.2585936619578,1784.2585936619578,0.0,0.0,2022-06-10 00:03:21
14935386,1654819423800000,1784.2585936619578,1784.2585936619578,0.0,0.0,2022-06-10 00:03:43
14935387,1654819437800000,1784.2585936619578,1784.2585936619578,0.0,0.0,2022-06-10 00:03:57
14935388,1654819440800000,1784.2183210331555,1784.2183210331555,0.0,0.0,2022-06-10 00:04:00
14935389,1654819445800000,1784.2183210331555,1784.2183210331555,0.0,0.0,2022-06-10 00:04:05
14935390,1654819452800000,1784.1136185809842,1784.1136185809842,0.0,0.0,2022-06-10 00:04:12
14935391,1654819466800000,1784.1136185809842,1784.1136185809842,0.0,0.0,2022-06-10 00:04:26
14935392,1654819470800000,1784.1136185809842,1784.1136185809842,0.0,0.0,2022-06-10 00:04:30
14935393,1654819493800000,1784.1136185809842,1784.1136185809842,0.0,0.0,2022-06-10 00:04:53
14935394,1654819495800000,1784.1136185809842,1784.1136185809842,0.0,0.0,2022-06-10 00:04:55
14935395,1654819517800000,1787.132191189654,1787.132191189654,0.0,0.0,2022-06-10 00:05:17
14935396,1654819524800000,1787.132191189654,1787.132191189654,0.0,0.0,2022-06-10 00:05:24
14935397,1654819531800000,1787.132191189654,1787.132191189654,0.0,0.0,2022-06-10 00:05:31
14935398,1654819534800000,1787.0919423933474,1787.0919423933474,0.0,0.0,2022-06-10 00:05:34
14935399,1654819588800000,1787.0687247559913,1787.0687247559913,0.0,0.0,2022-06-10 00:06:28
14935400,1654819598800000,1787.0687247559913,1787.0687247559913,0.0,0.0,2022-06-10 00:06:38
14935401,1654819603800000,1787.0687247559913,1787.0687247559913,0.0,0.0,2022-06-10 00:06:43
14935402,1654819620800000,1787.0606510961,1787.0606510961,0.0,0.0,2022-06-10 00:07:00
14935403,1654819627800000,1787.0606510961,1787.0606510961,0.0,0.0,2022-06-10 00:07:07
14935404,1654819647800000,1787.0202836173514,1787.0202836173514,0.0,0.0,2022-06-10 00:07:27
14935405,1654819653800000,1786.9718444491177,1786.9718444491177,0.0,0.0,2022-06-10 00:07:33
14935406,1654819666800000,1786.9718444491177,1786.9718444491177,0.0,0.0,2022-06-10 00:07:46
14935407,1654819683800000,1786.9718444491177,1786.9718444491177,0.0,0.0,2022-06-10 00:08:03
14935408,1654819690800000,1786.9718444491177,1786.9718444491177,0.0,0.0,2022-06-10 00:08:10
14935409,1654819691800000,1786.9718444491177,1786.9718444491177,0.0,0.0,2022-06-10 00:08:11
14935410,1654819704800000,1786.9718444491177,1786.9718444491177,0.0,0.0,2022-06-10 00:08:24
14935411,1654819733800000,1786.9718444491177,1786.9718444491177,0.0,0.0,2022-06-10 00:08:53
14935412,1654819737800000,1786.9718444491177,1786.9718444491177,0.0,0.0,2022-06-10 00:08:57
14935413,1654819742800000,1786.9718444491177,1786.9718444491177,0.0,0.0,2022-06-10 00:09:02
14935414,1654819746800000,1786.9718444491177,1786.9718444491177,0.0,0.0,2022-06-10 00:09:06
