,user,COLLATERAL_ETH,NO_CF_COLLATERAL_ETH,COLLATERAL_VST,NO_CF_COLLATERAL_VST,user_collateral,user_no_cf_collateral,DEBT_VST,DEBT_ETH,user_debt,COLLATERAL_gOHM,NO_CF_COLLATERAL_gOHM,DEBT_gOHM,COLLATERAL_renBTC,NO_CF_COLLATERAL_renBTC,DEBT_renBTC,COLLATERAL_GMX,NO_CF_COLLATERAL_GMX,DEBT_GMX,COLLATERAL_DPX,NO_CF_COLLATERAL_DPX,DEBT_DPX
51,0x83cf51a12258848540E862D1ab8b2FE05518F716_0x0000000000000000000000000000000000000000,21585.745454545453,23744.32,0.0,0.0,21585.745454545453,23744.32,11085.030818978557,0.0,11085.030818978557,,,,,,,,,,,,
52,0x6f9BB7e454f5B3eb2310343f0E99269dC2BB8A1d_0x0000000000000000000000000000000000000000,7015.367272727273,7716.904,0.0,0.0,7015.367272727273,7716.904,3641.965000439262,0.0,3641.965000439262,,,,,,,,,,,,
53,0x3e3A1743BA82D9a4eF654851ae824a88C3054cf1_0x0000000000000000000000000000000000000000,1146.742727272727,1261.417,0.0,0.0,1146.742727272727,1261.417,601.16,0.0,601.16,,,,,,,,,,,,
54,0x485bdd93173344E9194140345bd3338C8ddD8eB3_0x0000000000000000000000000000000000000000,809.4654545454545,890.4119999999999,0.0,0.0,809.4654545454545,890.4119999999999,438.34155017127426,0.0,438.34155017127426,,,,,,,,,,,,
55,0xC94A5180e638d1704EEACCc3DF08Fa0982Bd7ac9_0x0000000000000000000000000000000000000000,607.0990909090908,667.809,0.0,0.0,607.0990909090908,667.809,330.0,0.0,330.0,,,,,,,,,,,,
56,0x6ffbb6C376d0cf590289671D652Ae92213614828_0x0000000000000000000000000000000000000000,607.0990909090908,667.809,0.0,0.0,607.0990909090908,667.809,333.0,0.0,333.0,,,,,,,,,,,,
57,0xB011122194C0487fE9214c9FC9a73eC770e94Eae_0x0000000000000000000000000000000000000000,14570.378181818181,16027.416000000001,0.0,0.0,14570.378181818181,16027.416000000001,8014.7198605661715,0.0,8014.7198605661715,,,,,,,,,,,,
58,0x6d40B9be13eF1C4970dF10068893371b86bd2E22_0x0000000000000000000000000000000000000000,10792.872727272726,11872.16,0.0,0.0,10792.872727272726,11872.16,6006.956552250021,0.0,6006.956552250021,,,,,,,,,,,,
59,0x73Ea5b1AB2F4a36556B0A57381ed0101643615f3_0x0000000000000000000000000000000000000000,13491.09090909091,14840.2,0.0,0.0,13491.09090909091,14840.2,7567.5,0.0,7567.5,,,,,,,,,,,,
60,0x49c6fB6CBe27Ce0E773B85840Cb072791368e5Bb_0x0000000000000000000000000000000000000000,17538.41818181818,19292.26,0.0,0.0,17538.41818181818,19292.26,10012.162567171254,0.0,10012.162567171254,,,,,,,,,,,,
61,0x432DcBdA06e8B296CA29705572D7cb6315Ed8Bed_0x0000000000000000000000000000000000000000,17538.41818181818,19292.26,0.0,0.0,17538.41818181818,19292.26,10080.027629110535,0.0,10080.027629110535,,,,,,,,,,,,
62,0x513AeDacE44cc9a0724CA276a8CeeeE950903576_0x0000000000000000000000000000000000000000,17538.41818181818,19292.26,0.0,0.0,17538.41818181818,19292.26,10081.35369598982,0.0,10081.35369598982,,,,,,,,,,,,
63,0x8ce4fe19ac5ea0df14200FADd5450c3cF40CF0D0_0x0000000000000000000000000000000000000000,768.9921818181816,845.8913999999999,0.0,0.0,768.9921818181816,845.8913999999999,452.1000015465417,0.0,452.1000015465417,,,,,,,,,,,,
64,0xE59792D2BE52d8Dfb822d7041cAaa85f6C50e59e_0x0000000000000000000000000000000000000000,751.6184937928527,826.780343172138,0.0,0.0,751.6184937928527,826.780343172138,442.06458886807854,0.0,442.06458886807854,,,,,,,,,,,,
65,0x3B82B31bBE0DC3fE0f13D17f9a4d0455eF562e06_0x0000000000000000000000000000000000000000,17066.23,18772.853,0.0,0.0,17066.23,18772.853,10096.471430723557,0.0,10096.471430723557,,,,,,,,,,,,
66,0xd373e26E2b719727d888bA521C05f39E56dc592B_0x0000000000000000000000000000000000000000,26982.18181818182,29680.4,0.0,0.0,26982.18181818182,29680.4,16024.296611377207,0.0,16024.296611377207,,,,,,,,,,,,
67,0x2F04ed87b5Ac8b703565469311341b0b44e315d7_0x0000000000000000000000000000000000000000,10268.06929090909,11294.87622,0.0,0.0,10268.06929090909,11294.87622,6100.0,0.0,6100.0,,,,,,,,,,,,
68,0xAD2AF5071AEDE2C160338FfFAd6655c1e2aED715_0x0000000000000000000000000000000000000000,1996.6814545454545,2196.3496,0.0,0.0,1996.6814545454545,2196.3496,1202.75,0.0,1202.75,,,,,,,,,,,,
69,0xD096848C3692DAD31628Df0E2b1eA5449EC3ab17_0x0000000000000000000000000000000000000000,2293.485454545454,2522.834,0.0,0.0,2293.485454545454,2522.834,1409.7444000175083,0.0,1409.7444000175083,,,,,,,,,,,,
70,0xDe93A283495fA2834047B53871A8E4e09f96d841_0x0000000000000000000000000000000000000000,14840.199999999999,16324.22,0.0,0.0,14840.199999999999,16324.22,9359.20006031312,0.0,9359.20006031312,,,,,,,,,,,,
71,0xa203E22b55047FA1e986832c6712bB5551AdBFA7_0x0000000000000000000000000000000000000000,6745.545454545455,7420.1,0.0,0.0,6745.545454545455,7420.1,4302.013817619959,0.0,4302.013817619959,,,,,,,,,,,,
72,0x65D7624883aC2a33855AAE52969b5BD80EB4bf4C_0x0000000000000000000000000000000000000000,3372.7727272727275,3710.05,0.0,0.0,3372.7727272727275,3710.05,2155.733466442058,0.0,2155.733466442058,,,,,,,,,,,,
73,0x2A920e07149a472E0373c9B451a0F83930204eC7_0x0000000000000000000000000000000000000000,1686.3863636363637,1855.025,0.0,0.0,1686.3863636363637,1855.025,1085.25,0.0,1085.25,,,,,,,,,,,,
74,0xFa01C614B923a3A6574719574CA4311e8A1Ae08c_0x0000000000000000000000000000000000000000,1423.3100909090906,1565.6410999999998,0.0,0.0,1423.3100909090906,1565.6410999999998,934.5053894788075,0.0,934.5053894788075,,,,,,,,,,,,
75,0x3C1d1bcA512027B0795e6Bc29df53dBAc2205161_0x0000000000000000000000000000000000000000,6340.812727272727,6974.894,0.0,0.0,6340.812727272727,6974.894,4186.4,0.0,4186.4,,,,,,,,,,,,
76,0x20798Fd64a342d1EE640348E42C14181fDC842d8_0x0000000000000000000000000000000000000000,2075.7392472727274,2283.313172,0.0,0.0,2075.7392472727274,2283.313172,1453.08,0.0,1453.08,,,,,,,,,,,,
77,0x020EB226e93362D1304BC97A3dD07231B1Cdf097_0x0000000000000000000000000000000000000000,26712.36,29383.596,0.0,0.0,26712.36,29383.596,18821.867349375516,0.0,18821.867349375516,,,,,,,,,,,,
78,0x3b8e8fe28B25D696e37179af0BE5778Bf4F799A2_0x0000000000000000000000000000000000000000,1821.2972727272727,2003.4270000000001,0.0,0.0,1821.2972727272727,2003.4270000000001,1301.4975374264159,0.0,1301.4975374264159,,,,,,,,,,,,
79,0x51938a3D47070Cc226143D8aAb1AA048F757C292_0x0000000000000000000000000000000000000000,593.608,652.9688,0.0,0.0,593.608,652.9688,432.0078994982625,0.0,432.0078994982625,,,,,,,,,,,,
80,0xB4192AB96664248c260F9B7E3EF5d55B55B55384_0x0000000000000000000000000000000000000000,6489.214727272726,7138.136199999999,0.0,0.0,6489.214727272726,7138.136199999999,4753.7313120600575,0.0,4753.7313120600575,,,,,,,,,,,,
81,0x697F21718A14A93bd76b1b97B32dC02f1F3fF382_0x0000000000000000000000000000000000000000,1349.1090909090908,1484.02,0.0,0.0,1349.1090909090908,1484.02,1000.0,0.0,1000.0,,,,,,,,,,,,
82,0x9Dc03477A733C1d580d0Fa76e9DCFfdbdA9C89B0_0x0000000000000000000000000000000000000000,674.5545454545454,742.01,0.0,0.0,674.5545454545454,742.01,500.0000000000006,0.0,500.0000000000006,,,,,,,,,,,,
83,0xe4e3486DfCE91Ba87060228d44f8DB7C59A86139_0x0000000000000000000000000000000000000000,1389.5823636363637,1528.5406,0.0,0.0,1389.5823636363637,1528.5406,1050.47,0.0,1050.47,,,,,,,,,,,,
84,0x435b7D470767Cb121F37dD296B2AC7913fDF5427_0x0000000000000000000000000000000000000000,4870.283818181818,5357.312199999999,0.0,0.0,4870.283818181818,5357.312199999999,3847.9899999999993,0.0,3847.9899999999993,,,,,,,,,,,,
85,0x734808EE3FBC65AA9Ea5e1d210d8502fCb57187b_0x0000000000000000000000000000000000000000,415.3227997638782,456.85507974026604,0.0,0.0,415.3227997638782,456.85507974026604,330.0,0.0,330.0,,,,,,,,,,,,
86,0x5C2acAE2bfBf75B7a2f045DC7f4326bc4f0B048D_0x0000000000000000000000000000000000000000,4047.327272727272,4452.0599999999995,0.0,0.0,4047.327272727272,4452.0599999999995,3312.66995012415,0.0,3312.66995012415,,,,,,,,,,,,
87,0x8424A95cCF4AdcA9e88574493eFE65eAA2a2Dd32_0x0000000000000000000000000000000000000000,10792.872727272726,11872.16,0.0,0.0,10792.872727272726,11872.16,9120.0,0.0,9120.0,,,,,,,,,,,,
88,0xEa16545cF2E4C30b38B156CDA0972BE63cE71d50_0x0000000000000000000000000000000000000000,1686.3863636363637,1855.025,0.0,0.0,1686.3863636363637,1855.025,1425.8327414630623,0.0,1425.8327414630623,,,,,,,,,,,,
89,0x71AcAB55fe9F1Cc23127301F2d61cBf24007df18_0x0000000000000000000000000000000000000000,67284.11769090909,74012.52945999999,0.0,0.0,67284.11769090909,74012.52945999999,60029.75999992605,0.0,60029.75999992605,,,,,,,,,,,,
90,0x39862DC60164fF621d7AbeFd4ff25CdE923aCF79_0x0000000000000000000000000000000000000000,8446.102860072726,9290.71314608,0.0,0.0,8446.102860072726,9290.71314608,8122.219958999925,0.0,8122.219958999925,,,,,,,,,,,,
