timestamp_x,ask_price,bid_price,binance-futures_BTCUSDT_liquidation_long,binance-futures_BTCUSDT_liquidation_short
1654042590122816.0,31820.009984984983,31819.74812312312,0.0,0.374
1654042649875730.8,31857.910948905108,31857.734671532846,0.0,1.587
1654042708722688.8,31844.61620795107,31844.4378440367,0.0,0.0
1654042769744167.0,31850.73575331772,31850.604761904764,0.0,0.0
1654042829974633.8,31817.971438746437,31817.83903133903,0.0,0.0
1654042889499467.0,31763.289867841406,31763.14772393539,0.073,0.0
1654042950952784.8,31719.89880785414,31719.78513323983,0.211,0.0
1654043007335082.5,31707.296671709533,31707.058245083208,1.778,0.0
1654043072389477.8,31708.197433774836,31708.01738410596,0.615,0.0
1654043129524851.2,31735.445638629284,31735.292834890966,0.0,0.0
1654043189901070.0,31761.56336489439,31761.443991260017,0.0,0.0
1654043249503482.2,31774.191112828437,31773.95826893354,0.0,0.001
1654043310576868.2,31837.792063492067,31837.644582470668,0.0,0.5499999999999999
1654043369383141.5,31813.629915837795,31813.478117827082,0.0,0.0
1654043430359771.0,31802.883934169276,31802.694278996863,0.0,0.0
1654043490259793.2,31821.09079245283,31820.90958490566,0.0,0.008
1654043550857442.2,31866.39418181818,31866.211345454547,0.0,0.182
1654043608900255.5,31866.36190095847,31866.23817891374,0.0,0.0
1654043668917158.8,31877.598670836593,31877.48913213448,0.0,0.0
1654043730474727.8,31896.530000000002,31896.370145985402,0.0,1.223
1654043790514678.0,31918.91511789182,31918.790707350905,0.0,0.0
1654043848926375.2,31898.212157413913,31898.06711173577,0.0,0.0
1654043910186972.8,31900.295971223022,31900.17366906475,0.0,0.0
1654043970226049.5,31916.53556740289,31916.389032749426,0.0,0.0
1654044029871673.8,31952.841094062707,31952.624149432955,0.0,1.679
1654044088578485.5,31953.63915574964,31953.450727802036,0.0,0.0
1654044150729843.8,31950.025185185186,31949.905703703706,0.0,0.0
1654044209121032.0,31945.59366144668,31945.4428038777,0.0,0.0
1654044269318506.0,31945.857261724657,31945.723751891073,0.0,0.0
1654044329271807.2,31941.787874659403,31941.66709809264,0.0,0.0
1654044390144837.5,31939.47676848875,31939.346784565914,0.0,0.0
1654044449251273.2,31941.115996784563,31940.98014469454,0.0,0.0
1654044510823811.2,31920.544444444444,31920.41286149163,0.0,0.0
1654044568146840.8,31896.619714285716,31896.503357142858,0.0,0.0
1654044629381659.0,31890.642395297575,31890.52814107274,0.0,0.0
1654044688561160.0,31892.8134840871,31892.705443886094,0.0,0.0
1654044749649034.5,31889.39153394803,31889.25104777871,0.0,0.0
1654044808819913.5,31893.124564315352,31892.994356846477,0.0,0.0
1654044871230181.2,31908.143354430384,31907.994699367086,0.0,0.0
1654044928591709.8,31932.298352941176,31932.09176470588,0.0,0.184
1654044989387267.8,31956.687130295766,31956.574260591526,0.0,0.0
1654045050465890.2,31952.806208911617,31952.671439006575,0.0,0.0
1654045109792633.2,31937.896972111557,31937.76111553785,0.0,0.0
1654045169210358.0,31925.7493456505,31925.63879907621,0.0,0.0
1654045229532874.2,31913.066853482786,31912.90808646918,0.0,0.0
1654045289844341.8,31891.777637795276,31891.66566929134,0.0,0.0
1654045350331100.8,31880.96089693155,31880.844217151847,0.0,0.0
1654045409099164.5,31881.809579955785,31881.69115696389,0.0,0.0
1654045469116431.2,31882.443828125,31882.307734374997,0.0,0.0
1654045528834655.5,31877.70692431562,31877.559822866344,0.0,0.0
1654045589280435.8,31886.819881556687,31886.69915397631,0.0,0.0
1654045650794534.5,31874.001790510294,31873.88388540734,0.0,0.0
1654045709661231.2,31881.1388225256,31881.031484641637,0.0,0.0
1654045771057808.2,31873.738937351307,31873.627200634415,0.0,0.0
1654045827968362.5,31883.11768707483,31883.002526724977,0.0,0.0
1654045888872163.8,31898.936912225705,31898.827037617557,0.0,0.0
1654045949336195.0,31908.974212034384,31908.869699140403,0.0,0.0
1654046009007522.2,31903.99392857143,31903.876249999998,0.0,0.0
1654046069270247.2,31906.082892690516,31905.981415241058,0.0,0.0
1654046128850684.0,31895.453053435114,31895.335801526715,0.0,0.0
1654046190284260.5,31909.16117103236,31909.044838212638,0.0,0.0
1654046248989485.2,31910.278216989063,31910.11463414634,0.0,0.0
1654046309914274.2,31903.878361344538,31903.774894957984,0.0,0.0
1654046367573717.2,31915.917657822505,31915.808234217748,0.0,0.0
1654046431224521.5,31901.835241502682,31901.713416815743,0.0,0.0
1654046490615544.2,31902.089938757654,31901.95266841645,0.0,0.0
1654046550039069.5,31859.374499229583,31859.249306625577,0.0,0.0
1654046609284097.8,31846.689596774195,31846.55685483871,0.0,0.0
1654046669800138.0,31850.938331929232,31850.82577927549,0.0,0.0
1654046730948270.0,31864.649548872178,31864.53007518797,0.0,0.0
1654046790173405.0,31872.303975994,31872.189947486873,0.0,0.0
1654046848719467.0,31875.06144486692,31874.959315589353,0.0,0.0
1654046908572643.2,31885.328674203494,31885.216752312434,0.0,0.0
1654046969869493.8,31875.195735027224,31875.062613430127,0.0,0.0
1654047029767590.8,31898.370218120803,31898.226593959735,0.0,0.0
1654047088749248.0,31908.359724473255,31908.23849270664,0.0,0.0
1654047148235899.8,31899.9748850046,31899.85942962282,0.0,0.0
1654047210297339.5,31911.112521440828,31910.990566037737,0.0,0.838
1654047268079403.5,31913.97939508507,31913.8713610586,0.0,0.0
