timestamp_x,ask_price,bid_price,binance-futures_BTCUSDT_liquidation_long,binance-futures_BTCUSDT_liquidation_short
1651364369498285.5,37648.31147036182,37648.1909160893,0.012,0.0
1651364429666082.5,37634.87408906883,37634.72153846154,0.20400000000000001,0.0
1651364489916073.5,37647.83011120616,37647.70393498717,0.10400000000000001,0.0
1651364550623037.8,37639.714364207226,37639.587833594975,0.009,0.0
1651364609987742.2,37636.30076045627,37636.17840304183,0.07,0.0
1651364670264336.2,37630.884357976654,37630.75673151751,0.2,0.0
1651364729032736.5,37631.18276899925,37631.066741911214,0.0,0.0
1651364790562930.2,37634.19251603707,37634.075766215254,0.026,0.0
1651364850602915.5,37630.94856933235,37630.84203961849,0.0,0.0
1651364909962600.0,37622.48704980843,37622.34904214559,0.003,0.0
1651364970004866.0,37616.647575757575,37616.52863636363,0.0,0.0
1651365030728728.0,37599.82921686747,37599.701506024096,0.444,0.0
1651365089480386.5,37549.5322881356,37548.415593220336,6.739,0.013
1651365150068896.5,37618.243435897435,37617.781452991454,0.019000000000000003,1.122
1651365209542608.8,37651.91439929329,37651.56307420495,0.0,0.0
1651365269122213.5,37665.784544049464,37665.62457496136,0.0,0.0
1651365331795241.5,37708.677167182665,37708.49326625387,0.0,0.015
1651365388874023.2,37722.53770131771,37722.38879941435,0.0,0.053
1651365451982408.5,37739.58002991773,37739.41555721765,0.0,1.376
1651365509006250.2,37750.891795231415,37750.747826086954,0.0,0.006
1651365569888482.5,37773.144013266996,37772.9899668325,0.0,1.012
1651365628203385.2,37748.02285478548,37747.79620462046,0.0,0.069
1651365689763822.8,37734.77396061269,37734.590299051786,0.0,0.0
1651365749650780.8,37708.85325925926,37708.71281481482,0.0,0.0
1651365809253127.0,37717.54214175655,37717.41425269646,0.0,0.0
1651365869540164.0,37705.69520833333,37705.57958333333,0.0,0.0
1651365929204534.2,37692.72496194825,37692.5997716895,0.027,0.0
1651365990332444.2,37681.71467044649,37681.606661941885,0.0,0.0
1651366049288761.2,37667.86054172767,37667.6718887262,0.0,0.0
1651366110381451.5,37671.08856937455,37670.96010064702,0.0,0.0
1651366170618441.2,37671.09078473722,37670.971202303816,0.0,0.0
1651366229084012.5,37659.862962962965,37659.69979035639,0.005,0.0
1651366290375345.8,37655.50977653631,37655.381354748606,0.0,0.0
1651366348999407.0,37675.3107402032,37675.19216255443,0.0,0.0
1651366409097702.2,37676.587266187045,37676.45755395683,0.0,0.0
1651366469551137.2,37664.22676258993,37664.09561151079,0.0,0.0
1651366529967871.8,37679.3101236476,37679.19034003091,0.0,0.0
1651366589084573.8,37691.97300469484,37691.846087636935,0.0,0.0
1651366649987603.2,37677.783808844506,37677.64436519258,0.0,0.0
1651366709515824.5,37665.431292008965,37665.30455563853,0.0,0.0
1651366769758368.8,37667.615666041274,37667.504315197,0.0,0.0
1651366830019015.8,37650.92646828504,37650.79169929522,0.0,0.0
