,timestamp_x,ask_price,bid_price,binance-futures_ETHUSDT_liquidation_long,binance-futures_ETHUSDT_liquidation_short,index
15833,1583971231305404.2,195.07631515151516,195.03622424242425,0.0,0.0,2020-03-12 00:00:31.305404160
15834,1583971291772972.5,195.2623498694517,195.22869451697127,0.0,0.0,2020-03-12 00:01:31.772972544
15835,1583971346517635.0,195.07873296314992,195.0447551741545,0.0,0.0,2020-03-12 00:02:26.517635072
15836,1583971411940287.5,195.3584473481937,195.33436587240584,0.0,0.0,2020-03-12 00:03:31.940287488
15837,1583971474214337.2,195.4273546511628,195.3969573643411,0.0,0.0,2020-03-12 00:04:34.214337280
15838,1583971527558809.2,195.6555181182454,195.61244755244755,0.0,0.0,2020-03-12 00:05:27.558809344
15839,1583971590892851.0,195.30832559938128,195.2688708430008,0.0,0.0,2020-03-12 00:06:30.892851200
15840,1583971650908621.8,194.84468062265165,194.80536768652712,0.0,0.0,2020-03-12 00:07:30.908621824
15841,1583971704005628.0,194.60851708074532,194.56137422360248,0.0,0.0,2020-03-12 00:08:24.005628160
15842,1583971769485077.5,194.362012934519,194.32983023443816,0.0,0.0,2020-03-12 00:09:29.485077504
15843,1583971829701042.0,194.184157814871,194.1531057157309,0.0,0.0,2020-03-12 00:10:29.701041920
15844,1583971885991557.2,193.9228489042676,193.88363898500572,0.0,0.0,2020-03-12 00:11:25.991557376
15845,1583971947721422.0,193.96504071058476,193.9319393042191,0.0,0.0,2020-03-12 00:12:27.721422080
15846,1583972002759159.5,193.97178217821784,193.94331133113312,0.0,0.0,2020-03-12 00:13:22.759159552
15847,1583972079710378.8,193.73069143446853,193.7108049535604,0.004,0.0,2020-03-12 00:14:39.710378752
15848,1583972130950036.5,194.2624910916748,194.2225720764496,0.0,0.0,2020-03-12 00:15:30.950036480
15849,1583972189077866.0,194.31104338070307,194.26264771877337,0.0,0.0,2020-03-12 00:16:29.077865984
15850,1583972244237720.0,194.59707941929972,194.55271562766868,0.0,0.0,2020-03-12 00:17:24.237720064
15851,1583972314510725.2,194.142858783008,194.0937313432836,0.0,0.0,2020-03-12 00:18:34.510725376
15852,1583972367328362.8,194.1795753715499,194.131771307249,0.0,0.0,2020-03-12 00:19:27.328362752
15853,1583972427878395.0,194.2706296427308,194.2151927838698,0.0,0.0,2020-03-12 00:20:27.878395136
15854,1583972495728457.8,194.319168273203,194.2551060313963,0.0,0.0,2020-03-12 00:21:35.728457728
15855,1583972541161138.2,194.3572583081571,194.3087915407855,0.0,0.0,2020-03-12 00:22:21.161138176
15856,1583972601741206.2,194.25274596182084,194.1982892804699,0.0,0.0,2020-03-12 00:23:21.741206272
15857,1583972667172548.5,194.10153766233768,194.0604987012987,0.0,0.0,2020-03-12 00:24:27.172548608
15858,1583972738273484.5,194.1067811934901,194.0756419529837,0.0,0.0,2020-03-12 00:25:38.273484544
15859,1583972791526108.8,194.23657444668007,194.1998591549296,0.0,0.0,2020-03-12 00:26:31.526108672
15860,1583972843000490.0,194.17276431718065,194.13361233480177,0.0,0.0,2020-03-12 00:27:23.000489984
15861,1583972924238655.0,194.3164285714286,194.26722296395192,0.0,0.0,2020-03-12 00:28:44.238654976
15862,1583972969339658.5,194.4427945859873,194.39428343949044,0.0,0.0,2020-03-12 00:29:29.339658496
15863,1583973027579442.2,194.59641379310344,194.55401379310345,0.0,0.0,2020-03-12 00:30:27.579442176
15864,1583973090140183.2,194.3311820330969,194.30968085106383,0.0,0.0,2020-03-12 00:31:30.140183296
15865,1583973158799658.5,194.17231441048037,194.1404454148472,0.0,0.0,2020-03-12 00:32:38.799658496
