block,txHash,volume,price
9910417,0x769db2fd2cb3342cf42011af549b30034f376e78332337f81bbce9bcaf01fd4a,1.00067,1.00067
9922171,0x336f6219b91c3db459388640c4c47730e2ef8e3053f9d61c9939181d770ec05a,873.376496,0.9991703702761784
9922222,0x06ed5a73f41854fc37487e83b5d0b285f629a98a5a1db614b9be6ba98f044819,1797.003552,1.000915444256305
9922357,0xdcf1a2ec9a07f401e192b1ed32ed258fabc578fa8994d52160c12eca34a02a31,1770.500255,0.9991987533297213
9922616,0x5195431a044c2fdb072e289de35ca98e495c32ee896f22a2651d4f06b033120b,2496.227188,0.9984908751999999
9922688,0xdba0a5d8c92ae19f1a74f2b5a8875215f4f12c80f1718d7948ad2add9256697c,498.198203,0.99710844495996
9923369,0x007dde80eb047186e6f9da97337fdff61e8444124a860ee3a3ae47be48143483,1289.247035,0.9973851240316052
9923448,0x20070120fbe6828716540dc2bea1862ebaaf481cc34fc3b16da4f4feeb7820e7,593.47131,0.9986077425206272
9923541,0x92bef126f8b298c684617e141b0325c84b16ee49abeeb74fdc64e09e8ef7d841,2922.137528,0.9973165624573379
9924067,0x880f6f44b0ca7e7e58f577b98f76e242963a2280e00b9fb182432fea1771da28,797.450054,0.9968125675
9924107,0x91f35e74555f87152a28e03102975013db6e29f4a426799c6cf77d7db2a9defa,236.112733,0.9966160431757974
9924202,0x72b9bea15b47459d9521f6bd7a9a7aab3b5d4b73039e24c181c54a2d210a7f5b,751.27257,0.9972573139768401
9924219,0x53d12a5fd4ef52ba8f9386ac96d12f7dc9fe0e0931d38b2b3cfc2f724134d5d1,753.964776,0.9972042425824875
9924227,0x076e639478fb048efa3b17d0e20dc4648e4263d2361e7e753b4c3c8399b3f6f9,1282.298919,0.9971322790346823
9924228,0xfad5847c1491bd5ed1b758c9a86296af1eb4591924899ad62075164a56f1ba08,1057.27663,0.9970493854132562
9924258,0xdf6518b2544c6db619635a536743e6dbe967b4a8ccba52e71e1dee99be7ce4b2,444.760451,0.9975008468501755
9924362,0x8d17a8d1b11f2962aeb9e99b70bf07f3c9391db49b1af36d92e16c6317e64e8d,1289.325073,0.9965475797930228
9924363,0x4def49f588eff647e1c369a6c437550ab942be6e0bbb9d933a22610523c27dd0,825.571892,0.996480011650952
9924364,0x825545b2eded404408ab50501a68e748ea1e28180fdf1ea7992160595cf57a48,445.334612,0.9964393116810719
