block,txHash,volume,price
11018844,0x357a16bd32e808da447e4aa5bc4c7ab150fe17f70525cae08c207fe25aa9e002,64981.145871,0.9972894723509383
11057765,0x5a184797814d6ca7807f6337c05f07df0b563be8c58c18a2c36f9f3c12febf53,20163.549043,1.0023465876975455
11058995,0xe007b6330f088fd37cb0f7c0a0d623e8646ecf42d490b6e5439099d3d4ab3b6f,8339.876707,1.002991786770896
11059285,0xbd1f4626de6daee83e9244dce179df76f6102ac3e4e067e8cb389883083d9662,35192.159848,1.0054902813714286
11059437,0x9b377240576f4eb086407276931f241925699fe329971e092ccb51b42f691c7a,35802.378036,1.0052804554297354
11059579,0xbca1d9b27b360934bbb326a422c064376b889524ca8070f73efc673434a6e714,56117.654112,1.0061555899593613
11059761,0xf05fad79a238bc65cc30b59c72d1f6c27e196ba7491f7f2393ea4f193d113477,35216.149455,1.005818587537759
11059930,0x27c90708cc2ea85dd36b605e573719cacadade1466e6a8fa2e208f3bf1b1e6f4,15037.118533,1.002873070643734
11061306,0x74a74bc4ae76f924b151301bc37dbc564e416ac077c42b9e507b0dedadcebcc0,35158.274839,0.9999316653384219
11079846,0xaf7a848c92799aae736b9106138d733a2f776433c9f44a1cc0077075ab7642dc,9412.170866,0.934727222773667
11080481,0x27b0742ad6142aaad603bed5295506db1498f2666f6120d4de33001f027dcd6e,133689.131483,0.9903689809203332
11080522,0x457ede0f6df13892bc28a205b2b3d91a21ae5a9cbfde17c8251331aac667f852,97377.323073,0.9897402643285785
11080564,0x15261606061ee31ffb6126496cffc9c4105a0edfc30804e7904564401bc0557a,22865.521137,0.9892165190355552
11080831,0x106b6fe81a3929a7129aea1937099583e23823a748d275344c5e08e78f8b240e,16875.066903,0.9975750436045948
11080903,0x4c47a5d0a36e35a9a66853d89a855fbfa5aed4c19846b9ab0e1e00e922d370a1,85080.374085,0.9972042962260137
11095303,0x26f4c2b7474e874273c51da324915c1cbc82ac82cf1f07f2fbe6415d0f5e7e70,53510.16955,0.9909290657407407
11098058,0x34ee0d0bd33fa3ec77c7f5fd0231ae99f2cd3ca7444312e47a8327fdd7c6c77f,50508.045882,0.9903538408235294
11101003,0x2376bd5ab53fd75c1ed603b72c3dfab9514396431f3ab77a88bf21cf30a4d22e,33694.655013,0.9910192650882353
11102012,0x51bc9add1d25f22a9aab67e839141b9cbe35750916a7f6eb3390e48823ad0373,995.484199,0.995484199
11103989,0x4a12c788ed3ddb6b7c7bd1fd5069df7fd623d539f292adc326496ce51e91e8f1,66797.302671,0.9963798131115752
11104009,0xc50e8e24fa762d248b7c7aebf7a6d5453a01679023b51ee68514a802c14304b7,88704.895348,0.9966842173932585
11104026,0x430c741de32d5a70ca856cca57d43877c5952fb4a316b891d06e8a540bafb956,97653.84001,0.9964474195424583
11106743,0xbca0e433beb7482a99cb5168b86854b6ff0c1c3658edf7b4f32fee024149da1e,121618.863377,0.9990612504790397
11107190,0x3d0c845e686fe56944f9b76b3dfeb728879170e7a75888432566556bdb3f1344,190186.078329,0.9983521172125985
11107794,0x9855d361e62cb932fc0a3fec3b17e0a0388a9d541feb7696d8c89a53baf4f4b0,999.874711,0.999874711
11109826,0xb0c9ee58f25c9c2b2c7141cecefddd92e1f6b01809f164dff29a9ba137d22dba,4015.981283,1.0001871083350145
11110160,0x7310830c24f914200086940afb312d23ec87b6868a99da721df8a100637baba0,3148.770675,0.9998693540142986
11113414,0xec0fddb88405f94c237dc3fa9dad67ed506f57bd892e03463908be21dc3e745b,3876.791096,0.9991729618565227
11149106,0x868c81874a011d7710ab89eb3a88ab3ecb48f87ebe6a20ff9c5c056a3b515285,32091.838542,0.9980263240681074
11151750,0x3a74142a4078d808ab68f1d0c475621a7286a1e580041871b3102c6558469159,32068.841027,0.99790296288582
11152402,0xb5a5e283e5c0e6b943e12d4533d7a7bc062229011b7e8ce06cac38b6264bdf20,55142.467783,0.9978410188622925
11157140,0x7553d0ff5c28ab7f818ae7cbf2c2c187caaf514b1a1c77c48e727b0ced334f4f,2018.209269,0.9991134995049504
11165551,0x94df32c8000e4eea9c2d239b6b4312108c4078564d15188935e6edb291485a6d,7241.746043,0.9962801050787969
11166728,0x44aac454f68918442c45ae695a6576186b645a1c05ada518388b668b510bfb7d,107214.590247,0.9960358615618967
11174001,0xfaba290c7d8b3d6c4d7aa577c05aac89889ca61a68eba8c896fba08ac030e125,402549.622789,0.9961100754176524
11183321,0xd06e444d136505d19a578ae29a5f03c3a2b5a970e264a39950330b1df41ef91f,998.101123,0.9977718848173056
11193764,0x43d4dd90c9f54d0276fcbe2062ffa9841a3a493eb0745db94c18d75941b1193e,46246.746387,0.996579690153435
11196720,0x6c1cff40418e7c68c8c5ec8988ed9419d1eabf02cc03b28a6f7d6d8fafc2e025,132026.950503,0.9952420299021764
11198496,0x03a9a34ee679f5e6aa9703f4971c40351189f7ff906753ef2e27bce4115bbc76,130284.766606,0.9971555485636001
11213021,0xaee9a9477e5e394acf79e20f5ef948cda66b40343839f83020d70436e14e0232,40436.015627,0.9985399943101714
11216745,0xd91926a1cce3d54014759648fc029df6e08933a67fc96ec6d0961f1fdb6bad13,22932.16034,0.9991356021261764
11219864,0x2986f6181a1ef5eb5fe64fec62d0e317c0df37f93a0fe32da8435542df0f7d27,20072.842911,0.9983891690096939
11225573,0x03af850ce05ac069c2f2a2c299b04c69d113b3d2a12e8e5ec679624fe4e65ea9,35096.439648,0.9976348803962091
11227213,0x7c4b62ca57685cc7b87838ff8fa8be5640bcc9ca6908db582f871806dfcdd645,30128.809575,0.9975677450086379
11231693,0x3d996972ddc7a2d713bcc479a6386af601346f5bcdec710c0e2c1532d76f4fe6,35035.009758,0.9971370252964662
